| k |      a     |     b      |    x_k     |    f(x)   |    e_k   |
====================================================================
|000|-2.000000000|-1.000000000|-1.500000000|-9.34375000| 0.08578644|
|001|-1.500000000|-1.000000000|-1.250000000|12.05175781| 0.16421356|
|002|-1.500000000|-1.250000000|-1.375000000| 3.51730347| 0.03921356|
|003|-1.500000000|-1.375000000|-1.437500000|-2.30354786| 0.02328644|
|004|-1.437500000|-1.375000000|-1.406250000| 0.75029114| 0.00796356|
|005|-1.437500000|-1.406250000|-1.421875000|-0.73967475| 0.00766144|
|006|-1.421875000|-1.406250000|-1.414062500| 0.01440749| 0.00015106|
|007|-1.421875000|-1.414062500|-1.417968750|-0.36034152| 0.00375519|
|008|-1.417968750|-1.414062500|-1.416015620|-0.17239615| 0.00180206|
|009|-1.416015620|-1.414062500|-1.415039060|-0.07885189| 0.00082550|
|010|-1.415039060|-1.414062500|-1.414550780|-0.03218662| 0.00033722|
|011|-1.414550780|-1.414062500|-1.414306640|-0.00888068| 0.00009308|
|012|-1.414306640|-1.414062500|-1.414184570| 0.00276563| 0.00002899|
|013|-1.414306640|-1.414184570|-1.414245610|-0.00305697| 0.00003204|
|014|-1.414245610|-1.414184570|-1.414215090|-0.00014553| 0.00000153|
|015|-1.414215090|-1.414184570|-1.414199830| 0.00131008| 0.00001373|
|016|-1.414215090|-1.414199830|-1.414207460| 0.00058229| 0.00000610|
|017|-1.414215090|-1.414207460|-1.414211270| 0.00021838| 0.00000229|
|018|-1.414215090|-1.414211270|-1.414213180| 0.00003643| 0.00000038|
|019|-1.414215090|-1.414213180|-1.414214130|-0.00005455| 0.00000057|
|020|-1.414214130|-1.414213180|-1.414213660|-0.00000906| 0.00000010|
